% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=537399, Fri Oct 23 09:52:18 2020, <python>{}</python>
1 9 0.5058247031564562 1.0000428580612375 -0.53 -5.3000000000000003e-01 -0.31 -0.12   
2 18 0.5068511838142845 1.3118797794402621 -0.66 -6.6000000000000003e-01 -0.52 -0.2   
3 27 0.5233429761453382 1.3866805701352904 -0.73 -7.2999999999999998e-01 -0.52 -0.19   
4 36 0.47964635225138014 1.4720281690237276 -0.73 -6.8999999999999995e-01 -0.51 -0.24   
5 45 0.4318864864042051 1.5329965071163185 -0.73 -7.1999999999999997e-01 -0.56 -0.42   
6 54 0.39424867027701466 1.5124977045648849 -0.73 -6.7000000000000004e-01 -0.44 -0.25   
7 63 0.34835750825602796 1.4907073065585517 -0.74 -7.3999999999999999e-01 -0.52 -0.39   
8 72 0.32916997717024377 1.48395558733053 -0.78 -7.8000000000000003e-01 -0.65 -0.51   
9 81 0.33285293755274364 1.6355126234429762 -0.78 -7.3999999999999999e-01 -0.66 -0.56   
10 90 0.3164490785663459 1.763851672188957 -0.78 -7.6000000000000001e-01 -0.67 -0.59   
11 99 0.30628250050976585 1.823196310076572 -0.78 -7.7000000000000002e-01 -0.62 -0.59   
12 108 0.28677256644171245 1.7985896619724526 -0.78 -7.5000000000000000e-01 -0.7 -0.56   
13 117 0.25900273274477564 1.7968324247284015 -0.8 -8.0000000000000004e-01 -0.7 -0.59   
14 126 0.23189290416241462 1.8054525915164659 -0.8 -7.3999999999999999e-01 -0.69 -0.65   
15 135 0.20855336559018198 1.7824303554554422 -0.82 -8.1999999999999995e-01 -0.71 -0.56   
16 144 0.18774502964146908 1.812824241871932 -0.87 -8.7000000000000000e-01 -0.74 -0.67   
17 153 0.17253161176121531 1.9259596035665731 -0.87 -8.1999999999999995e-01 -0.78 -0.71   
18 162 0.16546031982458376 1.9974193478346003 -0.87 -8.5999999999999999e-01 -0.8 -0.67   
19 171 0.17375155360802083 1.981382684991789 -0.92 -9.2000000000000004e-01 -0.83 -0.71   
20 180 0.1602841377809051 1.9138689500979522 -0.92 -8.5999999999999999e-01 -0.83 -0.71   
21 189 0.1830243386318788 1.832984450498646 -0.92 -8.9000000000000001e-01 -0.83 -0.75   
22 198 0.20851369702336017 1.919280827313632 -0.92 -8.2999999999999996e-01 -0.77 -0.73   
23 207 0.19014499861478815 2.0739046707483104 -0.92 -8.4999999999999998e-01 -0.78 -0.69   
24 216 0.18365478455529693 2.1437598721260303 -0.92 -8.5999999999999999e-01 -0.81 -0.71   
25 225 0.16036545567434357 1.9439285258124395 -0.92 -8.2999999999999996e-01 -0.75 -0.71   
26 234 0.145799379703488 2.0097559504643594 -0.92 -8.9000000000000001e-01 -0.82 -0.73   
27 243 0.13386085402341188 2.1081573962340383 -0.92 -8.5999999999999999e-01 -0.82 -0.79   
28 252 0.12497986041425471 2.1600623992622032 -0.92 -8.7000000000000000e-01 -0.82 -0.77   
29 261 0.1138926668825939 2.2161827211768568 -0.92 -8.5999999999999999e-01 -0.8 -0.75   
30 270 0.11363416598983649 2.2318203378229153 -0.92 -8.5999999999999999e-01 -0.81 -0.79   
31 279 0.12319866618745187 2.2019031153307167 -0.92 -9.0000000000000002e-01 -0.83 -0.76   
32 288 0.1218930920942954 2.312109926646163 -0.92 -8.5999999999999999e-01 -0.83 -0.76   
33 297 0.1211551492773929 2.316341202475705 -0.92 -8.7000000000000000e-01 -0.81 -0.75   
34 306 0.13370736533719654 2.2919448163777005 -0.92 -9.0000000000000002e-01 -0.84 -0.77   
35 315 0.12126324688227529 2.424928573889705 -0.92 -8.8000000000000000e-01 -0.81 -0.77   
36 324 0.11109328072364871 2.3084113915614637 -0.92 -9.2000000000000004e-01 -0.84 -0.77   
37 333 0.106042624736249 2.5360714910254223 -0.92 -8.8000000000000000e-01 -0.82 -0.79   
38 342 0.10595629272610092 2.555173035473542 -0.92 -8.8000000000000000e-01 -0.82 -0.69   
39 351 0.10248198189722116 2.494399291311232 -0.92 -9.0000000000000002e-01 -0.83 -0.79   
40 360 0.09959464994996614 2.5404101169137756 -0.92 -9.1000000000000003e-01 -0.87 -0.84   
41 369 0.09075166915864821 2.562028273619928 -0.92 -9.2000000000000004e-01 -0.86 -0.73   
42 378 0.08995563212690046 2.4557280504970747 -0.92 -8.9000000000000001e-01 -0.82 -0.78   
43 387 0.0829321528854237 2.4352056117514165 -0.92 -9.1000000000000003e-01 -0.83 -0.77   
44 396 0.07521592942314419 2.39016702475178 -0.92 -8.9000000000000001e-01 -0.84 -0.79   
45 405 0.07562646090889807 2.3873758721382043 -0.92 -8.7000000000000000e-01 -0.82 -0.78   
46 414 0.07441523567804013 2.3501131290208024 -0.92 -9.0000000000000002e-01 -0.83 -0.81   
47 423 0.07534209720280952 2.4670084624397646 -0.92 -9.0000000000000002e-01 -0.86 -0.82   
48 432 0.07486100157913753 2.613090382788008 -0.92 -8.7000000000000000e-01 -0.84 -0.76   
49 441 0.07524736195635758 2.7684190461807905 -0.92 -8.7000000000000000e-01 -0.84 -0.79   
50 450 0.08598972414265672 3.0144740667020273 -0.92 -8.3999999999999997e-01 -0.79 -0.76   
51 459 0.0885845153916466 3.3974355866231485 -0.92 -8.7000000000000000e-01 -0.81 -0.75   
52 468 0.08471080915634566 3.5935181740174635 -0.92 -8.7000000000000000e-01 -0.81 -0.72   
53 477 0.08122692603950375 3.5244165805199206 -0.92 -8.4999999999999998e-01 -0.8 -0.72   
